Seconds Time Day T0_25cM3-1Ti-sub_4_flange T1_26cM3-2Turbo_2_bellow T2_27_M3-3T_of_Ti-sub_4_b T3_28cM3-4Ion_pump_4_fla T4_29cM3-5Micros_top_fl T5_30cM3-6Micros_bot T6_55_M3-7Vertical_chimne T7_56_M3-8Turbo_2_cold_ca T8_57cM3-9Turbo_2_T_to_b T9_58_M3-10Turbo_2_botto T10_59_M3-11Turbo_2_RGA T11_60_M3-12Turbo_2_angle T12_43cM4-1Gate_valve_4_t T13_44_M4-2Gate_valve_3_to T14_45_M4-3Gate_valve_2_to T15_46_M4-4Horiz_large_rec T16_47cM4-5Ion_pump_3_bo T17_48cM4-6Ion_pump_3_bot T18_49cM4-7Ti-sub_3_flange T19_50cM4-8T_before_back_ T20_51_M4-9Gate_valve_4_b T21_52cM4-10Turbo_2_bello T22_53cM4-11Ion_pump_3_fl T23_54cM4-12Back_window_ S0_25cM3-1Ti-sub_4_flange S1_26cM3-2Turbo_2_bellow S2_27_M3-3T_of_Ti-sub_4_b S3_28cM3-4Ion_pump_4_fla S4_29cM3-5Micros_top_fl S5_30cM3-6Micros_bot S6_55_M3-7Vertical_chimne S7_56_M3-8Turbo_2_cold_ca S8_57cM3-9Turbo_2_T_to_b S9_58_M3-10Turbo_2_botto S10_59_M3-11Turbo_2_RGA S11_60_M3-12Turbo_2_angle S12_43cM4-1Gate_valve_4_t S13_44_M4-2Gate_valve_3_to S14_45_M4-3Gate_valve_2_to S15_46_M4-4Horiz_large_rec S16_47cM4-5Ion_pump_3_bo S17_48cM4-6Ion_pump_3_bot S18_49cM4-7Ti-sub_3_flange S19_50cM4-8T_before_back_ S20_51_M4-9Gate_valve_4_b S21_52cM4-10Turbo_2_bello S22_53cM4-11Ion_pump_3_fl S23_54cM4-12Back_window_ O0_25cM3-1Ti-sub_4_flange O1_26cM3-2Turbo_2_bellow O2_27_M3-3T_of_Ti-sub_4_b O3_28cM3-4Ion_pump_4_fla O4_29cM3-5Micros_top_fl O5_30cM3-6Micros_bot O6_55_M3-7Vertical_chimne O7_56_M3-8Turbo_2_cold_ca O8_57cM3-9Turbo_2_T_to_b O9_58_M3-10Turbo_2_botto O10_59_M3-11Turbo_2_RGA O11_60_M3-12Turbo_2_angle O12_43cM4-1Gate_valve_4_t O13_44_M4-2Gate_valve_3_to O14_45_M4-3Gate_valve_2_to O15_46_M4-4Horiz_large_rec O16_47cM4-5Ion_pump_3_bo O17_48cM4-6Ion_pump_3_bot O18_49cM4-7Ti-sub_3_flange O19_50cM4-8T_before_back_ O20_51_M4-9Gate_valve_4_b O21_52cM4-10Turbo_2_bello O22_53cM4-11Ion_pump_3_fl O23_54cM4-12Back_window_ 
50 0:0:54 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 44 62 53 121 128 139 120 126 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.55523 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
55 0:0:59 3Jul2016 149 93 147 140 135 109 130 42 75 54 47 55 44 62 53 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.5564 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
60 0:1:4 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 44 62 54 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.55767 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
65 0:1:9 3Jul2016 148 93 147 140 135 109 130 42 75 54 47 55 44 62 54 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.55894 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
70 0:1:14 3Jul2016 149 93 147 140 135 109 130 42 75 54 47 55 45 62 54 121 129 138 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56022 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
75 0:1:19 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 44 62 53 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56149 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
80 0:1:24 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 55 45 62 54 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56266 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
85 0:1:29 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56393 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
90 0:1:34 3Jul2016 149 93 147 140 135 109 130 42 75 54 47 55 44 62 53 121 129 139 120 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.5652 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
95 0:1:39 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 45 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56647 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
100 0:1:44 3Jul2016 148 93 147 140 135 109 131 43 75 54 47 55 45 62 53 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56774 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
105 0:1:49 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 54 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.56891 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
110 0:1:54 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 54 45 62 53 121 128 139 121 126 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57019 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
115 0:1:59 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 120 126 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57146 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
120 0:2:4 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57273 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
125 0:2:9 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.574 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
130 0:2:14 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57517 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
135 0:2:19 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 54 44 62 53 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57644 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
140 0:2:24 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 54 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57771 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
145 0:2:29 3Jul2016 148 93 147 140 135 108 130 42 76 54 47 55 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.57898 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
150 0:2:34 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 55 45 62 53 121 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58025 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
155 0:2:39 3Jul2016 148 93 147 141 135 108 130 42 76 54 47 55 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58152 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
160 0:2:44 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 55 44 62 53 121 128 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.5827 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
165 0:2:49 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58397 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
170 0:2:54 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 54 44 62 53 121 129 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58524 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
175 0:2:59 3Jul2016 149 92 147 140 135 109 130 42 76 54 47 54 45 62 53 121 128 139 120 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58651 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
180 0:3:4 3Jul2016 148 93 147 140 135 109 131 42 76 54 47 55 44 62 53 121 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58778 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
185 0:3:9 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 44 62 53 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.58895 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
190 0:3:14 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 44 62 54 121 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59022 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
195 0:3:19 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 54 45 62 54 121 128 139 120 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.5915 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
200 0:3:24 3Jul2016 148 93 147 140 135 109 130 42 76 53 47 55 45 62 54 122 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59277 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
205 0:3:29 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 45 62 54 121 129 139 120 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59404 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
210 0:3:34 3Jul2016 148 93 148 140 135 109 130 42 76 54 47 55 45 61 54 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59521 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
215 0:3:39 3Jul2016 148 93 148 140 135 109 130 42 76 54 47 55 44 61 55 121 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59648 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
220 0:3:44 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 44 61 55 121 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59775 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
225 0:3:49 3Jul2016 148 93 147 140 135 109 130 43 76 54 47 55 45 61 55 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.59902 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
230 0:3:54 3Jul2016 148 93 148 140 135 109 131 42 76 54 47 54 45 62 55 121 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60029 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
235 0:3:59 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 55 44 62 55 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60147 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
240 0:4:4 3Jul2016 148 93 147 140 136 109 131 43 76 54 47 54 44 62 55 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60274 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
245 0:4:9 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 54 44 61 55 122 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60401 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
250 0:4:14 3Jul2016 148 93 147 140 135 109 131 43 76 54 47 54 44 61 55 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60528 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
255 0:4:19 3Jul2016 148 93 148 140 135 109 130 42 76 54 47 55 44 61 55 121 128 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60655 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
260 0:4:24 3Jul2016 149 93 148 140 135 109 130 42 76 54 47 55 44 62 55 121 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60772 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
265 0:4:29 3Jul2016 148 93 147 140 135 109 130 42 76 54 47 55 45 61 55 121 129 139 120 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.60899 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
270 0:4:34 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 55 44 62 55 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61026 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
275 0:4:39 3Jul2016 149 93 148 140 135 109 130 42 76 54 47 55 44 62 54 122 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61153 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
280 0:4:44 3Jul2016 149 93 147 140 135 109 130 43 76 54 47 55 44 62 54 122 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61281 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
285 0:4:49 3Jul2016 149 93 148 140 135 109 131 43 76 54 47 55 44 62 54 121 129 139 121 127 119 97 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61408 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
290 0:4:54 3Jul2016 148 93 147 140 136 109 130 42 76 54 47 54 44 62 54 122 128 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61525 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
295 0:4:59 3Jul2016 149 93 147 140 136 109 130 42 76 54 47 55 45 62 54 121 129 139 120 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61652 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
300 0:5:4 3Jul2016 149 93 147 140 135 109 130 42 76 54 47 55 44 62 53 122 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61779 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
305 0:5:9 3Jul2016 149 93 148 140 135 109 130 43 76 54 47 55 44 62 53 121 129 139 121 127 119 98 140 146 42 30 37 34 31 30 33 28 29 31 26 28 21 20 21 19 21 34 19 21 21 22 21 20 3.8 8.61906 0 6.7 5.5 18.5 0 0 5.2 0 0 0 8 0 0 0 10 7.3 11 8 0 7.4 9 3.5 
