Seconds Time Day T0_13_M1-1Left_TC_tube_ T1_14_M1-2Ion_pump_2_fla T2_15cM1-3Ti-sub_2_vert_t T3_16_M1-4Gate_valve_1_b T4_17_M1-5Cross_front_red T5_18_M1-6Cross_front_flan T6_19cM1-7Ion_pump_2_rig T7_20cM1-8Ti-sub_2_flange T8_21_M1-9Gate_valve_1_to T9_22cM1-10TC_right_flang T10_23_M1-11Wobble_stick_ T11_24cM1-12T_on_Ion_pum T12_1cM2-1Ion_pump_1_flan T13_2cM2-2TC_left_flange T14_3cM2-3Ion_pump_1_top T15_4_M2-4Angle_valve_1_fl T16_5cM2-5Oven_backwind T17_6_M2-6Oven_reservoir T18_7cM2-7Cross_back_flan T19_8cM2-8TC_top_flange_ T20_9cM2-9Ti-Sub_1_flange_ T21_10cM2-10Cross_btm_fla T22_11cM2-11Right_TC_T-ho T23_12_M2-12Right_TC_T-ve S0_13_M1-1Left_TC_tube_ S1_14_M1-2Ion_pump_2_fla S2_15cM1-3Ti-sub_2_vert_t S3_16_M1-4Gate_valve_1_b S4_17_M1-5Cross_front_red S5_18_M1-6Cross_front_flan S6_19cM1-7Ion_pump_2_rig S7_20cM1-8Ti-sub_2_flange S8_21_M1-9Gate_valve_1_to S9_22cM1-10TC_right_flang S10_23_M1-11Wobble_stick_ S11_24cM1-12T_on_Ion_pum S12_1cM2-1Ion_pump_1_flan S13_2cM2-2TC_left_flange S14_3cM2-3Ion_pump_1_top S15_4_M2-4Angle_valve_1_fl S16_5cM2-5Oven_backwind S17_6_M2-6Oven_reservoir S18_7cM2-7Cross_back_flan S19_8cM2-8TC_top_flange_ S20_9cM2-9Ti-Sub_1_flange_ S21_10cM2-10Cross_btm_fla S22_11cM2-11Right_TC_T-ho S23_12_M2-12Right_TC_T-ve O0_13_M1-1Left_TC_tube_ O1_14_M1-2Ion_pump_2_fla O2_15cM1-3Ti-sub_2_vert_t O3_16_M1-4Gate_valve_1_b O4_17_M1-5Cross_front_red O5_18_M1-6Cross_front_flan O6_19cM1-7Ion_pump_2_rig O7_20cM1-8Ti-sub_2_flange O8_21_M1-9Gate_valve_1_to O9_22cM1-10TC_right_flang O10_23_M1-11Wobble_stick_ O11_24cM1-12T_on_Ion_pum O12_1cM2-1Ion_pump_1_flan O13_2cM2-2TC_left_flange O14_3cM2-3Ion_pump_1_top O15_4_M2-4Angle_valve_1_fl O16_5cM2-5Oven_backwind O17_6_M2-6Oven_reservoir O18_7cM2-7Cross_back_flan O19_8cM2-8TC_top_flange_ O20_9cM2-9Ti-Sub_1_flange_ O21_10cM2-10Cross_btm_fla O22_11cM2-11Right_TC_T-ho O23_12_M2-12Right_TC_T-ve 
50 0:0:53 25Jun2016 36 28 31 27 30 34 33 44 25 46 30 30 34 34 29 26 31 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
55 0:0:58 25Jun2016 35 28 31 27 31 35 33 44 24 46 30 30 34 34 29 26 31 34 47 46 42 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
60 0:1:3 25Jun2016 36 27 31 27 31 35 33 44 25 45 30 30 35 35 29 25 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
65 0:1:8 25Jun2016 35 28 32 28 31 35 33 45 25 46 30 30 35 34 29 26 31 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
70 0:1:13 25Jun2016 35 28 31 27 31 35 32 45 25 46 31 30 34 34 29 26 30 34 46 46 42 47 33 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
75 0:1:18 25Jun2016 35 28 31 27 30 35 33 44 25 46 31 29 34 35 29 26 30 34 46 46 41 47 33 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
80 0:1:23 25Jun2016 36 28 31 27 30 35 32 44 25 46 30 29 34 34 29 26 31 34 47 46 41 47 33 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
85 0:1:28 25Jun2016 35 28 31 27 31 35 33 45 25 46 30 30 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
90 0:1:33 25Jun2016 36 28 31 27 31 35 32 45 25 46 30 30 34 35 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
95 0:1:38 25Jun2016 36 28 31 27 31 35 33 44 25 46 30 30 34 34 29 26 30 34 46 46 42 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
100 0:1:43 25Jun2016 35 28 31 27 31 35 33 44 25 46 30 29 34 34 29 26 30 34 46 46 41 47 33 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
105 0:1:48 25Jun2016 35 28 31 27 30 35 32 44 25 46 30 30 34 34 29 26 31 34 46 46 41 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
110 0:1:53 25Jun2016 35 28 31 27 31 35 32 44 25 46 30 30 35 34 29 26 30 34 47 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
115 0:1:58 25Jun2016 35 28 31 27 31 34 33 44 25 46 30 30 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
120 0:2:3 25Jun2016 36 28 31 27 31 35 33 44 25 45 30 30 34 34 29 25 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
125 0:2:8 25Jun2016 36 28 31 27 30 35 33 44 25 46 30 30 35 34 29 26 31 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
130 0:2:13 25Jun2016 36 28 31 27 30 35 33 44 25 46 30 30 35 34 29 26 31 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
135 0:2:18 25Jun2016 36 28 31 28 31 35 33 44 25 46 30 30 34 34 29 25 30 34 46 46 42 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
140 0:2:23 25Jun2016 36 28 31 27 31 35 32 44 25 46 31 30 34 34 29 25 31 34 47 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
145 0:2:28 25Jun2016 36 28 31 27 30 35 33 44 25 45 30 29 34 34 29 25 30 34 46 46 42 46 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
150 0:2:33 25Jun2016 36 28 31 27 30 35 33 44 25 45 30 30 35 34 29 26 30 34 46 46 42 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
155 0:2:38 25Jun2016 35 28 31 27 30 35 33 44 25 46 30 29 35 34 29 26 30 34 46 47 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
160 0:2:43 25Jun2016 35 28 31 27 31 35 33 44 25 45 31 30 34 34 30 26 31 34 47 47 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
165 0:2:48 25Jun2016 36 28 31 27 31 35 32 44 25 46 30 30 34 34 29 25 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
170 0:2:53 25Jun2016 36 28 31 27 31 35 33 44 25 45 30 30 34 34 29 25 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
175 0:2:58 25Jun2016 35 28 31 27 31 35 32 44 25 46 30 30 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
180 0:3:3 25Jun2016 35 28 31 27 31 34 33 44 25 46 30 29 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
185 0:3:8 25Jun2016 36 28 31 27 30 35 33 44 25 45 31 30 34 34 29 25 31 34 46 46 41 46 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
190 0:3:13 25Jun2016 36 28 31 27 31 35 32 44 25 45 30 30 35 34 29 25 31 34 47 46 41 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
195 0:3:18 25Jun2016 35 28 31 27 31 35 33 44 25 46 30 29 35 34 29 25 31 34 46 47 41 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
200 0:3:23 25Jun2016 36 28 31 28 30 35 33 44 25 46 30 30 34 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
205 0:3:28 25Jun2016 36 28 31 27 31 35 32 44 25 46 30 30 35 33 29 26 31 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
210 0:3:33 25Jun2016 36 27 32 27 31 35 33 44 25 46 30 29 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
215 0:3:38 25Jun2016 36 28 31 27 31 35 32 44 25 46 30 29 35 34 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
220 0:3:43 25Jun2016 36 28 31 27 31 35 33 44 25 46 30 30 35 34 29 26 31 34 47 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
225 0:3:48 25Jun2016 36 28 31 27 31 35 32 45 25 46 30 30 35 34 29 26 30 34 46 46 41 46 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
230 0:3:53 25Jun2016 36 28 31 28 31 35 33 44 25 45 31 30 34 34 29 25 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
235 0:3:58 25Jun2016 36 28 31 27 31 35 32 44 25 46 31 30 35 34 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
240 0:4:3 25Jun2016 36 28 31 27 31 34 32 44 25 45 30 29 34 34 29 26 31 34 46 46 42 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
245 0:4:8 25Jun2016 36 28 31 27 31 35 33 44 25 45 30 30 35 34 29 26 31 34 46 46 42 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
250 0:4:13 25Jun2016 35 28 31 27 31 35 32 44 25 46 31 30 35 33 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
255 0:4:18 25Jun2016 36 28 31 27 31 35 33 44 25 45 31 29 34 34 29 26 30 34 46 46 42 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
260 0:4:23 25Jun2016 36 28 31 27 30 35 32 44 25 45 31 29 35 33 29 26 30 34 46 46 41 46 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
265 0:4:28 25Jun2016 36 28 31 27 31 35 33 45 25 46 31 30 35 34 29 25 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
270 0:4:33 25Jun2016 36 28 31 27 31 35 33 44 25 46 30 30 34 34 29 26 31 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
275 0:4:38 25Jun2016 35 28 31 27 31 35 33 44 25 46 31 29 34 34 29 25 30 34 47 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
280 0:4:43 25Jun2016 36 28 31 27 31 35 32 44 25 46 30 30 35 34 29 26 30 34 46 46 42 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
285 0:4:48 25Jun2016 36 28 31 27 31 35 33 44 25 46 30 29 35 34 29 26 30 34 46 46 41 47 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
290 0:4:53 25Jun2016 36 28 31 27 31 35 32 44 25 46 31 29 34 34 29 26 31 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
295 0:4:58 25Jun2016 35 28 31 27 30 35 33 44 25 46 31 30 35 34 29 26 30 34 46 46 41 46 33 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
300 0:5:3 25Jun2016 36 28 31 27 31 35 32 44 25 45 31 30 34 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
305 0:5:8 25Jun2016 35 28 31 27 30 35 33 44 25 46 30 30 34 34 29 26 30 34 46 47 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
310 0:5:13 25Jun2016 36 28 31 27 31 35 33 44 25 45 30 30 35 34 29 26 30 34 46 46 40 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
315 0:5:18 25Jun2016 36 28 31 27 31 35 32 44 25 46 30 30 35 34 29 26 30 34 46 46 41 47 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
320 0:5:23 25Jun2016 36 28 31 27 30 35 33 44 25 46 31 30 34 34 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
325 0:5:28 25Jun2016 36 28 31 27 30 35 32 45 25 45 31 30 35 34 29 26 30 34 46 47 41 46 34 30 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
330 0:5:33 25Jun2016 36 28 31 27 30 35 33 44 25 46 30 30 34 34 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
335 0:5:38 25Jun2016 36 29 31 27 31 35 33 45 25 46 30 29 34 34 29 26 30 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
340 0:5:43 25Jun2016 36 28 31 28 31 35 32 44 25 45 30 30 35 34 29 26 30 34 47 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
345 0:5:48 25Jun2016 36 28 31 27 31 35 33 45 25 46 30 30 34 34 29 26 31 34 46 46 41 46 34 29 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 
