Seconds Time Day T0_13_M1-1Left_TC_tube_ T1_14_M1-2Ion_pump_2_fla T2_15_M1-3Ti-sub_2_vert_tu T3_16_M1-4Gate_valve_1_b T4_17_M1-5Cross_front_red T5_18_M1-6Cross_front_flan T6_19cM1-7Ion_pump_2_rig T7_20cM1-8Ti-sub_2_flange T8_21_M1-9Gate_valve_1_to T9_22cM1-10TC_right_flang T10_23_M1-11Wobble_stick_ T11_24cM1-12T_on_Ion_pum T12_1cM2-1Ion_pump_1_flan T13_2cM2-2TC_left_flange T14_3cM2-3Ion_pump_1_top T15_4_M2-4Angle_valve_1_fl T16_5cM2-5Oven_backwind T17_6_M2-6Oven_reservoir T18_7cM2-7Cross_back_flan T19_8cM2-8TC_top_flange_ T20_9cM2-9Ti-Sub_1_flange_ T21_10cM2-10Cross_btm_fla T22_11cM2-11Right_TC_T-ho T23_12cM2-12Right_TC_T-ve S0_13_M1-1Left_TC_tube_ S1_14_M1-2Ion_pump_2_fla S2_15_M1-3Ti-sub_2_vert_tu S3_16_M1-4Gate_valve_1_b S4_17_M1-5Cross_front_red S5_18_M1-6Cross_front_flan S6_19cM1-7Ion_pump_2_rig S7_20cM1-8Ti-sub_2_flange S8_21_M1-9Gate_valve_1_to S9_22cM1-10TC_right_flang S10_23_M1-11Wobble_stick_ S11_24cM1-12T_on_Ion_pum S12_1cM2-1Ion_pump_1_flan S13_2cM2-2TC_left_flange S14_3cM2-3Ion_pump_1_top S15_4_M2-4Angle_valve_1_fl S16_5cM2-5Oven_backwind S17_6_M2-6Oven_reservoir S18_7cM2-7Cross_back_flan S19_8cM2-8TC_top_flange_ S20_9cM2-9Ti-Sub_1_flange_ S21_10cM2-10Cross_btm_fla S22_11cM2-11Right_TC_T-ho S23_12cM2-12Right_TC_T-ve O0_13_M1-1Left_TC_tube_ O1_14_M1-2Ion_pump_2_fla O2_15_M1-3Ti-sub_2_vert_tu O3_16_M1-4Gate_valve_1_b O4_17_M1-5Cross_front_red O5_18_M1-6Cross_front_flan O6_19cM1-7Ion_pump_2_rig O7_20cM1-8Ti-sub_2_flange O8_21_M1-9Gate_valve_1_to O9_22cM1-10TC_right_flang O10_23_M1-11Wobble_stick_ O11_24cM1-12T_on_Ion_pum O12_1cM2-1Ion_pump_1_flan O13_2cM2-2TC_left_flange O14_3cM2-3Ion_pump_1_top O15_4_M2-4Angle_valve_1_fl O16_5cM2-5Oven_backwind O17_6_M2-6Oven_reservoir O18_7cM2-7Cross_back_flan O19_8cM2-8TC_top_flange_ O20_9cM2-9Ti-Sub_1_flange_ O21_10cM2-10Cross_btm_fla O22_11cM2-11Right_TC_T-ho O23_12cM2-12Right_TC_T-ve 
50 0:0:51 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
55 0:0:56 24Jun2016 24 22 24 23 23 22 24 23 23 22 23 22 24 22 23 22 23 23 24 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
60 0:1:1 24Jun2016 23 22 23 23 23 22 24 24 23 22 23 22 24 23 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
65 0:1:6 24Jun2016 23 22 24 23 23 22 23 24 23 23 22 22 24 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0:1:11 24Jun2016 24 22 24 23 24 22 23 24 23 22 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
75 0:1:16 24Jun2016 23 22 23 23 23 22 23 23 23 22 23 22 24 23 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
80 0:1:21 24Jun2016 24 22 24 23 23 22 23 23 23 23 23 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
85 0:1:26 24Jun2016 24 22 23 23 24 22 24 23 23 22 22 21 24 23 23 22 23 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
90 0:1:31 24Jun2016 24 22 24 23 23 22 23 23 23 23 22 22 24 22 23 22 23 23 23 23 23 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
95 0:1:36 24Jun2016 24 22 23 23 24 22 23 23 23 22 23 22 24 23 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 0:1:41 24Jun2016 23 22 23 23 23 22 24 23 23 23 23 22 24 22 23 22 22 24 23 22 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
105 0:1:46 24Jun2016 23 22 24 23 23 22 23 23 23 23 23 22 23 22 23 22 22 23 24 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
110 0:1:51 24Jun2016 24 22 24 23 23 22 23 24 23 22 22 22 24 22 23 22 23 23 23 23 22 22 24 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
115 0:1:56 24Jun2016 24 22 24 23 23 22 24 24 23 22 23 22 24 22 23 23 22 23 23 23 22 23 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
120 0:2:1 24Jun2016 24 22 24 23 23 22 23 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
125 0:2:6 24Jun2016 23 22 23 23 23 22 23 23 23 23 22 22 24 23 23 22 23 24 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
130 0:2:11 24Jun2016 23 22 24 23 23 22 24 23 23 22 23 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
135 0:2:16 24Jun2016 23 22 24 23 23 22 23 23 23 23 23 22 24 22 23 22 22 23 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
140 0:2:21 24Jun2016 23 22 24 23 23 22 23 24 23 22 22 22 23 23 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
145 0:2:26 24Jun2016 23 22 23 23 23 22 23 24 23 23 22 22 23 22 23 22 23 24 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
150 0:2:31 24Jun2016 23 22 24 23 23 22 24 23 23 23 22 22 24 22 23 22 23 23 23 24 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
155 0:2:36 24Jun2016 24 22 24 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 23 23 23 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
160 0:2:41 24Jun2016 23 22 24 23 24 22 24 23 23 22 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
165 0:2:46 24Jun2016 24 22 23 23 23 22 23 23 23 22 22 22 24 23 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
170 0:2:51 24Jun2016 23 22 23 24 23 22 24 23 23 23 23 22 24 22 23 22 23 24 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
175 0:2:56 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 22 23 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
180 0:3:1 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 24 22 23 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
185 0:3:6 24Jun2016 23 22 24 23 23 22 24 23 23 22 22 22 24 22 22 22 22 23 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
190 0:3:11 24Jun2016 24 22 23 23 24 22 24 23 23 23 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
195 0:3:16 24Jun2016 23 22 23 23 23 21 23 23 23 22 23 22 24 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
200 0:3:21 24Jun2016 24 22 24 24 23 22 24 23 23 23 22 22 23 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
205 0:3:26 24Jun2016 23 22 24 23 23 22 24 23 23 23 23 21 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
210 0:3:31 24Jun2016 23 22 23 23 23 22 23 23 23 23 23 22 24 22 23 22 23 23 23 23 21 22 24 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
215 0:3:36 24Jun2016 24 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
220 0:3:41 24Jun2016 23 22 23 23 23 22 23 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
225 0:3:46 24Jun2016 23 22 23 23 23 22 23 23 23 23 23 22 24 22 22 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
230 0:3:51 24Jun2016 24 22 23 23 23 22 24 23 23 23 23 22 24 22 23 22 23 23 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
235 0:3:56 24Jun2016 23 23 24 23 23 22 23 23 23 22 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
240 0:4:1 24Jun2016 24 22 24 23 23 22 24 23 23 23 22 22 24 22 23 23 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
245 0:4:6 24Jun2016 23 22 24 23 24 22 23 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
250 0:4:11 24Jun2016 24 22 23 24 23 22 23 23 23 22 23 22 24 22 23 23 23 23 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
255 0:4:16 24Jun2016 23 22 24 23 23 22 23 23 23 22 22 22 24 23 23 22 23 23 24 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
260 0:4:21 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 24 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
265 0:4:26 24Jun2016 23 23 24 23 23 22 24 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
270 0:4:31 24Jun2016 24 22 24 24 23 22 24 24 23 23 22 22 24 22 23 22 22 23 23 23 22 23 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
275 0:4:36 24Jun2016 24 22 23 24 23 22 23 23 23 23 22 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
281 0:4:42 24Jun2016 23 22 23 23 24 22 24 23 23 22 22 22 24 22 23 23 23 23 23 24 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
286 0:4:47 24Jun2016 23 22 23 23 23 22 24 23 23 23 23 22 24 22 23 22 22 23 24 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
291 0:4:52 24Jun2016 23 22 23 23 24 22 23 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
296 0:4:57 24Jun2016 23 22 24 23 23 22 24 23 23 22 23 22 24 22 23 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
301 0:5:2 24Jun2016 23 22 23 23 23 22 24 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
306 0:5:7 24Jun2016 24 22 23 24 23 22 23 23 23 23 23 22 23 22 23 22 23 24 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
311 0:5:12 24Jun2016 24 22 24 23 24 22 24 23 23 23 22 22 24 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
316 0:5:17 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
321 0:5:22 24Jun2016 23 22 24 23 23 22 24 23 23 23 22 22 24 22 23 22 23 23 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
326 0:5:27 24Jun2016 23 22 23 23 23 22 24 23 23 23 23 22 23 22 23 23 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
331 0:5:32 24Jun2016 23 22 23 23 23 22 23 24 23 22 22 22 24 23 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
336 0:5:37 24Jun2016 24 22 24 23 23 22 24 23 23 23 23 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
341 0:5:42 24Jun2016 23 22 23 23 24 22 23 23 23 23 22 22 24 22 23 22 22 23 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
346 0:5:47 24Jun2016 23 22 24 23 23 21 24 23 23 23 22 22 24 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
